tipo,seccion,dis_loc,mun,pan,pri,prd,pvem,pt,mc,morena_pna,morena,pna,pes,rsp,fxm,pan_pri_prd,pan_pri,pan_prd,pri_prd,cand_ind1,cand_ind2,cand_ind3,cand_ind4,cand_ind5,votos_validos,votos_can_nreg,votos_nulos,total_votos,lista_nominal,anio,contienda,c_pan_pri_prd,tc_pan_pri_prd,winner_cand,winner_part,morena_pna_pct,pan_pct,pri_pct,prd_pct,mc_pct,pvem_pct,pt_pct,pes_pct,rsp_pct,fxm_pct,tc_pan_pri_prd_pct,Xto,Xln,Xvt,votos_perf5_morena_pna,votos_perf4_morena_pna,perf5_morena_pna_pct,perf4_morena_pna_pct,turnout,pobfem_pct,pob65_mas_pct,pob15_64_pct,pob0_14_pct,p18ym_pb_pct,pea_pct,pea_f_pct,pea_m_pct,pcon_disc_pct,contrans_pct
2,74,2,COLIMA,64,101,7,149,22,190,243.0,,,24,3,23,6,0,0,0,,,,,,832,0,36,868,1832,2021,presidente_municipal,6,178,morena_pna,morena_pna,27.99539170506912,7.373271889400922,11.63594470046083,0.8064516129032258,21.889400921658986,17.165898617511523,2.5345622119815667,2.7649769585253456,0.3456221198156682,2.6497695852534564,20.506912442396317,56.74,1851.0,1050.0,294.0,351.0,28.0,33.43,47.38,49.5,9.17,67.22,23.39,36.83,65.69,55.9,75.46,5.35,49.49
2,73,2,COLIMA,192,269,19,294,34,450,535.0,,,62,16,49,16,0,0,0,,,,,,1936,0,40,1976,4332,2021,presidente_municipal,16,496,morena_pna,morena_pna,27.0748987854251,9.7165991902834,13.61336032388664,0.9615384615384616,22.773279352226723,14.878542510121456,1.720647773279352,3.137651821862348,0.8097165991902834,2.479757085020243,25.101214574898783,57.59,5204.0,2997.0,811.0,1000.0,27.07,33.37,45.61,51.12,3.68,68.42,27.77,53.93,72.48,64.47,81.1,4.8,62.56
3,76,3,COLIMA,82,136,8,175,33,165,272.0,,,20,9,28,16,1,1,0,,,,,,946,0,22,968,2237,2021,presidente_municipal,18,244,morena_pna,morena_pna,28.09917355371901,8.47107438016529,14.049586776859504,0.8264462809917356,17.045454545454543,18.07851239669421,3.4090909090909087,2.066115702479339,0.9297520661157024,2.8925619834710745,25.206611570247933,54.74,2808.0,1537.0,432.0,513.0,28.1,33.38,43.27,50.16,3.61,66.59,29.75,45.82,70.97,58.66,83.63,3.25,56.81
2,75,3,COLIMA,73,115,3,91,20,167,196.0,,,19,5,36,5,0,0,0,,,,,,730,1,19,750,1570,2021,presidente_municipal,5,196,morena_pna,morena_pna,26.13333333333333,9.733333333333333,15.333333333333332,0.4,22.26666666666667,12.133333333333333,2.666666666666667,2.533333333333333,0.6666666666666667,4.8,26.13333333333333,55.03,1741.0,958.0,250.0,320.0,26.13,33.4,47.77,51.99,6.84,66.73,25.74,41.56,67.12,57.01,78.02,4.94,50.45
3,78,6,COLIMA,14,28,2,46,4,49,44.0,,,2,2,3,2,0,0,0,,,,,,196,0,2,198,258,2021,presidente_municipal,2,46,mc,mc,22.22222222222222,7.07070707070707,14.14141414141414,1.0101010101010102,24.747474747474747,23.232323232323232,2.0202020202020203,1.0101010101010102,1.0101010101010102,1.5151515151515151,23.232323232323232,79.99,361.0,289.0,73.0,97.0,25.26,33.56,76.74,53.9,10.51,71.19,16.61,79.04,67.48,56.15,80.17,3.39,88.99
3,77,6,COLIMA,203,246,9,202,33,257,281.0,,,26,3,16,20,6,0,0,,,,,,1302,1,20,1323,2093,2021,presidente_municipal,26,484,tc_pan_pri_prd,morena_pna,21.239606953892668,15.343915343915343,18.594104308390023,0.6802721088435374,19.42554799697657,15.268329554043838,2.494331065759637,1.9652305366591083,0.2267573696145124,1.2093726379440666,36.58352229780802,66.92,3088.0,2066.0,518.0,690.0,25.07,33.4,63.21,50.31,6.73,69.07,23.77,74.85,63.19,55.03,71.47,2.5,88.0
3,88,3,COLIMA,19,97,7,46,43,59,118.0,,,7,4,6,4,6,0,0,,,,,,416,0,12,428,986,2021,presidente_municipal,10,133,tc_pan_pri_prd,morena_pna,27.570093457943923,4.439252336448598,22.66355140186916,1.6355140186915886,13.78504672897196,10.74766355140187,10.046728971962615,1.6355140186915886,0.9345794392523364,1.4018691588785046,31.074766355140188,48.69,1014.0,494.0,136.0,166.0,27.57,33.6,43.41,48.4,20.32,61.99,17.69,26.09,57.92,41.19,73.78,13.36,58.72
4,87,3,COLIMA,54,103,5,30,14,81,220.0,,,11,8,25,11,3,0,1,,,,,,566,0,18,584,980,2021,presidente_municipal,15,177,morena_pna,morena_pna,37.67123287671233,9.246575342465754,17.636986301369863,0.8561643835616438,13.86986301369863,5.136986301369863,2.3972602739726026,1.8835616438356164,1.36986301369863,4.280821917808219,30.30821917808219,64.27,1035.0,665.0,251.0,251.0,37.67,37.67123287671233,59.59,48.99,11.01,63.17,25.81,20.33,66.74,48.15,84.05,9.07,58.18
4,90,3,COLIMA,25,121,1,28,4,18,76.0,,,7,5,4,3,1,0,0,,,,,,293,0,17,310,546,2021,presidente_municipal,4,151,tc_pan_pri_prd,pri,24.516129032258064,8.064516129032258,39.03225806451613,0.3225806451612903,5.806451612903226,9.032258064516128,1.2903225806451613,2.258064516129032,1.6129032258064515,1.2903225806451613,48.70967741935484,61.43,564.0,346.0,88.0,116.0,25.43,33.53,56.78,48.21,18.53,58.26,23.21,19.7,56.99,33.53,76.77,9.6,59.48
3,89,3,COLIMA,17,67,4,38,19,39,113.0,,,4,2,5,5,1,1,0,,,,,,315,0,8,323,789,2021,presidente_municipal,7,95,morena_pna,morena_pna,34.984520123839005,5.263157894736842,20.74303405572756,1.238390092879257,12.074303405572756,11.76470588235294,5.88235294117647,1.238390092879257,0.6191950464396285,1.547987616099071,29.411764705882355,46.11,782.0,361.0,126.0,126.0,34.98,34.984520123839005,40.94,47.64,18.57,61.91,19.52,25.83,55.38,37.33,71.69,13.19,57.93
